127.0.0.1 - - [27/Apr/2021:23:12:49 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:13:04 +0530] "GET /jobsjunction/ HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:13:04 +0530] "GET /jobsjunction/resources/css/index.css HTTP/1.1" 200 1423
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:13:04 +0530] "GET /jobsjunction/resources/images/logo512.png HTTP/1.1" 200 21123
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:13:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:13:10 +0530] "GET /jobsjunction/ HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:13:12 +0530] "GET /jobsjunction/ HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:13:16 +0530] "GET /jobsjunction/loginPage HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:13:16 +0530] "GET /jobsjunction/resources/css/login.css HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:14:24 +0530] "POST /jobsjunction/login HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:14:30 +0530] "GET /jobsjunction/registrationPage HTTP/1.1" 200 3275
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:14:30 +0530] "GET /jobsjunction/resources/css/registration.css HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:16:12 +0530] "POST /jobsjunction/registerUser HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:16:34 +0530] "POST /jobsjunction/login HTTP/1.1" 200 2314
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:16:41 +0530] "POST /jobsjunction/login HTTP/1.1" 200 4082
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:16:41 +0530] "GET /jobsjunction/resources/css/loginSuccess.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:16:45 +0530] "GET /jobsjunction/notAvailable HTTP/1.1" 200 4754
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:16:48 +0530] "GET /jobsjunction/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:16:48 +0530] "GET /jobsjunction/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:16:48 +0530] "GET /jobsjunction/loginSuccess HTTP/1.1" 200 4082
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:18:00 +0530] "GET /jobsjunction/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:18:00 +0530] "GET /jobsjunction/loginSuccess HTTP/1.1" 200 4082
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:18:07 +0530] "GET /jobsjunction/logoutPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:18:07 +0530] "GET /jobsjunction/loginPage HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:18:09 +0530] "GET /jobsjunction/loginPage HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:18:10 +0530] "GET /jobsjunction/loginPage HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:18:11 +0530] "GET /jobsjunction/loginPage HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:18:12 +0530] "GET /jobsjunction/loginPage HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:18:13 +0530] "GET /jobsjunction/loginPage HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:18:13 +0530] "GET /jobsjunction/loginPage HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:18:14 +0530] "GET /jobsjunction/loginPage HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:18:15 +0530] "GET /jobsjunction/loginPage HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:18:23 +0530] "GET /jobsjunction/loginSuccess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:18:24 +0530] "GET /jobsjunction/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2021:23:18:24 +0530] "GET /jobsjunction/loginPage HTTP/1.1" 200 1477
